ID,Latitude,Longitude
AL3377308564120120131,33.752,-85.627
FL3035908459920120212,30.356,-84.599
FL2854908180920120217,28.546,-81.795
UT3714711329520120522,37.145,-113.28
NV3874311953520120522,38.776,-119.478
FL2800108148320120522,28.006,-81.472
MI4663708543320120524,46.622,-85.413
UT4130811247020120524,41.302,-112.477
CA3306611643120120524,33.053,-116.45
CO3843610898920120525,38.458,-108.997
FL2984108222220120525,29.822,-82.247
AZ3178311160920120530,31.776,-111.607
UT4018911192120120531,40.173,-111.93
CA3614911850520120601,36.167,-118.473
NV3887411963420120601,38.873,-119.604
NV3809511410120120601,38.134,-114.051
NM3410510358020120602,34.086,-103.573
UT3823111150520120605,38.245,-111.497
ID4256411501620120603,42.54,-115.052
WY4218410537620120603,42.177,-105.368
CO4080510828320120604,40.922,-108.342
UT3797611156320120604,37.978,-111.544
NM3341910582920120604,33.445,-105.743
ID4317811560420120604,43.139,-115.543
FL2785808134920120604,27.858,-81.323
WY4407610434920120605,44.093,-104.354
UT3845911206020120605,38.489,-112.017
MT4651510773320120605,46.53,-107.769
ID4325711609020120607,43.261,-116.109
TX2957509453720120608,29.577,-94.545
WY4229810478320120609,42.294,-104.77
CO4058910540420120609,40.658,-105.357
AZ3324911108620120610,33.254,-111.068
NV3967911463320120612,39.614,-114.585
FL2856108089320120223,28.569,-80.896
TX3640110222320120225,36.422,-102.206
SD4357810084420120225,43.603,-100.837
OK3621509615120120226,36.212,-96.169
NC3522208417320120226,35.221,-84.171
MO3781009282520120302,37.785,-92.803
MO3745909046820120302,37.46,-90.47
OK3581809595220120303,35.805,-95.95
OK3574109645020120304,35.74,-96.435
OK3496809505120120304,34.965,-95.036
MS3475108905520120306,34.761,-89.061
NC3410107825120120308,34.116,-78.284
NE4268309789120120310,42.789,-97.875
MT4858910949320120313,48.586,-109.53
SC3382208078720120313,33.826,-80.789
AZ3328910997820120316,33.284,-109.957
MN4680409347520120317,46.804,-93.459
MN4891109679920120321,48.914,-96.805
SD4461210303320120326,44.61,-103.006
CO3943610521720120326,39.45,-105.191
FL2996108535820120326,29.965,-85.34
MO3680909113820120327,36.86,-91.144
MT4765110995820120329,47.653,-109.979
MT4839710981420120330,48.398,-109.8
MN4712909591820120401,47.13,-95.94
FL2615908147820120404,26.165,-81.464
FL3054908246520120405,30.509,-82.458
MN4704809595220120406,47.029,-95.959
VA3763008006320120407,37.613,-80.099
VA3775808021320120407,37.784,-80.168
VA3787807965420120407,37.879,-79.653
MN4773109640120120408,47.731,-96.41
MN4659409492420120408,46.582,-94.883
NJ3983707462620120408,39.851,-74.628
VA3850907865220120408,38.505,-78.662
WV3892507868820120408,38.926,-78.675
FL2695408110920120402,26.958,-81.11
NY4088207283820120409,40.886,-72.829
PA4020807575920120409,40.214,-75.749
TX3179610058220120411,31.808,-100.603
WA4827511828120120411,48.295,-118.274
VA3795507978320120411,37.966,-79.787
MS3113308915020120411,31.136,-89.127
MN4873909641620120421,48.753,-96.438
NM3516710814920120423,35.153,-108.171
OR4222111786120120423,42.219,-117.836
TX3060110420720120424,30.638,-104.194
TX3069610431620120424,30.699,-104.293
SD4333210306420120424,43.304,-102.998
MI4456608410320120425,44.581,-84.092
NV3671011405820120426,36.699,-114.069
FL2633208064020120505,26.318,-80.68
FL2865808074720120506,28.651,-80.748
AZ3133311041620120508,31.362,-110.417
AZ3423111078220120510,34.234,-110.795
NV3742311500220120510,37.441,-114.975
AZ3354410988520120511,33.541,-109.888
FL2854308064720120511,28.548,-80.648
AZ3393111147420120512,33.959,-111.479
CO3740210724320120513,37.426,-107.283
MT4531410617720120513,45.317,-106.17
AZ3421511233820120513,34.267,-112.337
NV3991811733920120514,39.918,-117.316
NV3992311735620120514,39.925,-117.371
FL2641408080620120514,26.402,-80.761
NM3326710859220120509,33.324,-108.573
NV3992811765320120516,39.864,-117.589
UT4025411222220120517,40.268,-112.238
TX3401709930720120517,34.016,-99.309
LA3108909255720120519,31.09,-92.555
TX3119609768720111013,31.195,-97.693
MN4828309604620111024,48.287,-96.049
FL2616008100120111026,26.159,-80.969
MO3747209133720111101,37.462,-91.346
TN3617008450920111112,36.183,-84.508
VA3798307892020111113,37.99,-78.919
FL2963608198220111114,29.644,-82.005
AR3341409246120111013,33.408,-92.453
NV3947511985120111118,39.471,-119.838
NV3951511964820111123,39.55,-119.652
MN4720209633320111201,47.195,-96.317
TX2974909411120111217,29.736,-94.115
OK3633509654820111231,36.332,-96.538
TX2967809420020120102,29.644,-94.199
MT4861511299420120104,48.661,-112.946
MT4853111296320120104,48.57,-112.831
FL3027608500120120108,30.272,-85.008
NV3932611980920120119,39.353,-119.782
FL2751208127720120120,27.529,-81.305
TX3547410177720120121,35.495,-101.778
NM3329610850520110711,33.32,-108.49
NM3436110411620110711,34.358,-104.091
OK3415009503420110711,34.147,-95.05
TX3242110032020110711,32.436,-100.361
TX3398209921920110711,33.955,-99.304
AR3473409297020110712,34.743,-92.965
TX3321609834620110712,33.225,-98.335
TX3216410133120110712,32.154,-101.334
NM3434710522620110713,34.332,-105.22
TX3094010424220110713,30.927,-104.245
OK3436309706120110714,34.371,-97.062
CA4180512136320110715,41.776,-121.357
NV4047011630920110715,40.482,-116.311
TX3271509932520110715,32.743,-99.365
UT4083411277420110716,40.887,-112.796
ID4542211415020110717,45.42,-114.142
AZ3472511155020110718,34.761,-111.496
AZ3537911193420110718,35.363,-111.899
ID4319711613820110718,43.198,-116.138
UT3985611196320110718,39.835,-111.958
WY4370110410520110718,43.734,-104.073
ID4645711532920110805,46.45,-115.331
OK3482609806320110805,34.815,-98.064
OK3498009524220110805,34.987,-95.25
OK3632609622320110805,36.304,-96.225
TX3146909831620110805,31.482,-98.396
UT3811111315820110805,38.139,-113.108
CA3393811708020110806,33.929,-117.08
MT4620711367720110806,46.186,-113.666
NM3212110468320110806,32.112,-104.701
NM3225810312720110806,32.259,-103.128
NV4061311862120110806,40.567,-118.573
OK3469409849320110806,34.682,-98.512
OK3533409868020110806,35.327,-98.667
OR4289811760220110806,42.91,-117.59
OR4306511751920110806,43.048,-117.433
TX3039410392420110806,30.393,-103.927
UT4021411190120110806,40.231,-111.918
CO3925110844620110807,39.241,-108.421
NM3234910450720110807,32.335,-104.529
NM3322210500120110807,33.18,-104.973
NV4149211725420110807,41.525,-117.203
OK3677809663120110807,36.801,-96.602
TX3014210426520110807,30.123,-104.286
TX3117910439120110807,31.172,-104.397
TX3347509801620110807,33.377,-98.033
WA4603011885720110807,46.019,-118.818
NM3304910510820110808,33.053,-105.1
ID4224811280920110809,42.259,-112.823
NM3241610542920110809,32.418,-105.424
OK3503109988520110809,35.037,-99.89
NM3437710409320110810,34.372,-104.067
TX2923110333020110810,29.28,-103.39
TX3123409768020110810,31.232,-97.681
TX3449810079420110810,34.494,-100.818
SD4343610385020110811,43.431,-103.863
TX3218910070620110811,32.217,-100.699
FL3011508234720110812,30.121,-82.362
ID4457811525020110812,44.574,-115.227
MT4608711387620110812,46.071,-113.863
TX3249409854420110812,32.509,-98.549
MT4786611371620110813,47.862,-113.691
ID4266311590220110814,42.535,-115.792
NV4170211501320110814,41.724,-114.992
ID4283111240020110815,42.837,-112.376
ID4297611532920110815,42.98,-115.341
ID4307411529820110815,43.06,-115.157
ID4317211595820110815,43.098,-115.923
ID4336611612920110815,43.334,-116.083
ID4346111623420110815,43.439,-116.222
TX3282709409820110913,32.829,-94.071
TX3361209797020110913,33.619,-97.938
CA3776611974120110913,37.778,-119.735
AR3445509378920110914,34.462,-93.789
TX3349809810120110914,33.496,-98.123
OR4224511849220110915,42.245,-118.51
OR4264611760220110915,42.654,-117.598
FL2710308092320110921,27.083,-80.941
TX3417609996420110921,34.143,-99.983
TX3419909991520110921,34.204,-99.938
WY4225910726320110921,42.252,-107.249
OR4444312138020110922,44.444,-121.359
TX2945310297920110922,29.453,-103.003
CA4024312331620110923,40.258,-123.299
NV4115411482620110924,41.153,-114.816
WY4333510557820110924,43.292,-105.573
NV3823411935020110925,38.253,-119.313
FL2912508148520110928,29.124,-81.447
NV3883611939320110930,38.832,-119.426
NV4051411664320110930,40.499,-116.642
NV4078711636620110930,40.813,-116.306
NV4094911623520110930,41.133,-116.237
NV4104711697720110930,41.114,-116.842
NV4109711741020110930,41.061,-117.376
NV4113811772720110930,41.195,-117.751
NV4121211745020110930,41.34,-117.432
NV4160111751620110930,41.599,-117.493
AZ3598411202120111001,35.988,-112.019
CA3309811647820111001,33.06,-116.502
ID4285511571220111001,42.845,-115.718
MT4550311253520111001,45.52,-112.541
MT4827710886020111001,48.262,-108.827
NV4129511728720111001,41.307,-117.233
NV4169811421820111001,41.715,-114.221
OR4255711905020111001,42.523,-119.078
OR4431411944320111001,44.304,-119.423
ID4276311539120111002,42.776,-115.468
WY4413310626920111002,44.105,-106.273
AR3595109291920111004,35.964,-92.935
NE4139410051820111004,41.424,-100.55
MN4883009632220111005,48.907,-96.313
SD4331810023020111005,43.56,-100.283
SD4399809948620111005,44.012,-99.5
SD4572510006820111005,45.765,-100.185
